Name,Assigned Male,Year,Assigned Female,Total
Gurmeet,1.0,1974,,1.0
Grigor,1.0,1974,,1.0
Jade,1.0,1974,5.0,6.0
Jackson,1.0,1974,1.0,2.0
Jackie,1.0,1974,2.0,3.0
Ivy,1.0,1974,1.0,2.0
Islay,1.0,1974,1.0,2.0
Isaac,1.0,1974,,1.0
Iqbal,1.0,1974,,1.0
Hussain,1.0,1974,,1.0
Hui,1.0,1974,,1.0
Imtiaz,1.0,1974,,1.0
Glynn,1.0,1974,,1.0
Francisco,1.0,1974,,1.0
Francesco,1.0,1974,,1.0
Fionn,1.0,1974,1.0,2.0
Finley,1.0,1974,,1.0
Finbar,1.0,1974,,1.0
Felix,1.0,1974,,1.0
Feargus,1.0,1974,,1.0
Fabio,1.0,1974,,1.0
Francois,1.0,1974,,1.0
Ernest,1.0,1974,,1.0
Eoghann,1.0,1974,,1.0
Emmanuel,1.0,1974,,1.0
Frankie,1.0,1974,,1.0
Giovanni,1.0,1974,,1.0
Gino,1.0,1974,,1.0
Gillan,1.0,1974,,1.0
Gianni,1.0,1974,,1.0
Gethin,1.0,1974,,1.0
Garreth,1.0,1974,,1.0
Galen,1.0,1974,,1.0
Gabriel,1.0,1974,,1.0
Jagdeep,1.0,1974,1.0,2.0
Caleb,1.0,1974,,1.0
Ronan,2.0,1974,,2.0
Rolf,2.0,1974,,2.0
Rizwan,2.0,1974,,2.0
Ritchie,2.0,1974,,2.0
Rikki,2.0,1974,,2.0
Ricky,2.0,1974,,2.0
Rehan,2.0,1974,,2.0
Ranald,2.0,1974,,2.0
Perry,2.0,1974,,2.0
Paolo,2.0,1974,,2.0
Nikolas,2.0,1974,,2.0
Nikki,2.0,1974,2.0,4.0
Nicky,2.0,1974,,2.0
Nickie,2.0,1974,,2.0
Nathanael,2.0,1974,,2.0
Sam,2.0,1974,,2.0
Seth,2.0,1974,,2.0
Shahid,2.0,1974,,2.0
Aamir,1.0,1974,,1.0
Zak,2.0,1974,,2.0
Yan,2.0,1974,1.0,3.0
